enum	value_dec	value_hex	name	base
CreatureType	81	0x51	Ruschk	dec
CreatureType	82	0x52	Thrungus	dec
CreatureType	83	0x53	ViamontianKnight	dec
CreatureType	84	0x54	Remoran	dec
CreatureType	85	0x55	Swarm	dec
CreatureType	86	0x56	Moar	dec
CreatureType	87	0x57	EnchantedArms	dec
CreatureType	88	0x58	Sleech	dec
CreatureType	89	0x59	Mukkir	dec
CreatureType	90	0x5A	Merwart	dec
CreatureType	91	0x5B	Food	dec
CreatureType	92	0x5C	ParadoxOlthoi	dec
CreatureType	93	0x5D	Harvest	dec
CreatureType	94	0x5E	Energy	dec
CreatureType	95	0x5F	Apparition	dec
CreatureType	96	0x60	Aerbax	dec
CreatureType	97	0x61	Touched	dec
CreatureType	98	0x62	BlightedMoarsman	dec
CreatureType	99	0x63	GearKnight	dec
CreatureType	100	0x64	Gurog	dec
CreatureType	101	0x65	Anekshay	dec
CurVitalId	2	0x2	CurrentHealth	hex
CurVitalId	4	0x4	CurrentStamina	hex
CurVitalId	6	0x6	CurrentMana	hex
DamageLocation	0	0x0	Head	hex
DamageLocation	1	0x1	Chest	hex
DamageLocation	2	0x2	Abdomen	hex
DamageLocation	3	0x3	UpperArm	hex
DamageLocation	4	0x4	LowerArm	hex
DamageLocation	5	0x5	Hand	hex
DamageLocation	6	0x6	UpperLeg	hex
DamageLocation	7	0x7	LowerLeg	hex
DamageLocation	8	0x8	Foot	hex
DamageType	1	0x1	Slashing	hex (mask attr)
DamageType	2	0x2	Piercing	hex (mask attr)
DamageType	4	0x4	Bludgeoning	hex (mask attr)
DamageType	8	0x8	Cold	hex (mask attr)
DamageType	16	0x10	Fire	hex (mask attr)
DamageType	32	0x20	Acid	hex (mask attr)
DamageType	64	0x40	Electric	hex (mask attr)
DatFileType	1	0x1	client_portal	hex
DatFileType	2	0x2	client_cell_1	hex
DatFileType	3	0x3	client_local_English	hex
EmoteCategory	0	0x0	Invalid_EmoteCategory	hex
EmoteCategory	1	0x1	Refuse_EmoteCategory	hex
EmoteCategory	2	0x2	Vendor_EmoteCategory	hex
EmoteCategory	3	0x3	Death_EmoteCategory	hex
EmoteCategory	4	0x4	Portal_EmoteCategory	hex
EmoteCategory	5	0x5	HeartBeat_EmoteCategory	hex
EmoteCategory	6	0x6	Give_EmoteCategory	hex
EmoteCategory	7	0x7	Use_EmoteCategory	hex
EmoteCategory	8	0x8	Activation_EmoteCategory	hex
EmoteCategory	9	0x9	Generation_EmoteCategory	hex
EmoteCategory	10	0xA	PickUp_EmoteCategory	hex
EmoteCategory	11	0xB	Drop_EmoteCategory	hex
EmoteCategory	12	0xC	QuestSuccess_EmoteCategory	hex
EmoteCategory	13	0xD	QuestFailure_EmoteCategory	hex
EmoteCategory	14	0xE	Taunt_EmoteCategory	hex
EmoteCategory	15	0xF	WoundedTaunt_EmoteCategory	hex
EmoteCategory	16	0x10	KillTaunt_EmoteCategory	hex
EmoteCategory	17	0x11	NewEnemy_EmoteCategory	hex
EmoteCategory	18	0x12	Scream_EmoteCategory	hex
EmoteCategory	19	0x13	Homesick_EmoteCategory	hex
EmoteCategory	20	0x14	ReceiveCritical_EmoteCategory	hex
EmoteCategory	21	0x15	ResistSpell_EmoteCategory	hex
EmoteCategory	22	0x16	TestSuccess_EmoteCategory	hex
EmoteCategory	23	0x17	TestFailure_EmoteCategory	hex
EmoteCategory	24	0x18	HearChat_EmoteCategory	hex
EmoteCategory	25	0x19	Wield_EmoteCategory	hex
EmoteCategory	26	0x1A	UnWield_EmoteCategory	hex
EmoteCategory	27	0x1B	EventSuccess_EmoteCategory	hex
EmoteCategory	28	0x1C	EventFailure_EmoteCategory	hex
EmoteCategory	29	0x1D	TestNoQuality_EmoteCategory	hex
EmoteCategory	30	0x1E	QuestNoFellow_EmoteCategory	hex
EmoteCategory	31	0x1F	TestNoFellow_EmoteCategory	hex
EmoteCategory	32	0x20	GotoSet_EmoteCategory	hex
EmoteCategory	33	0x21	NumFellowsSuccess_EmoteCategory	hex
EmoteCategory	34	0x22	NumFellowsFailure_EmoteCategory	hex
EmoteCategory	35	0x23	NumCharacterTitlesSuccess_EmoteCategory	hex
EmoteCategory	36	0x24	NumCharacterTitlesFailure_EmoteCategory	hex
EmoteCategory	37	0x25	ReceiveLocalSignal_EmoteCategory	hex
EmoteCategory	38	0x26	ReceiveTalkDirect_EmoteCategory	hex
EmoteType	0	0x0	Invalid_EmoteType	hex
EmoteType	0	0x0	Invalid_VendorEmoteType	hex
EmoteType	1	0x1	Act_EmoteType	hex
EmoteType	2	0x2	AwardXP_EmoteType	hex
EmoteType	3	0x3	Give_EmoteType	hex
EmoteType	4	0x4	MoveHome_EmoteType	hex
EmoteType	5	0x5	Motion_EmoteType	hex
EmoteType	6	0x6	Move_EmoteType	hex
EmoteType	7	0x7	PhysScript_EmoteType	hex
EmoteType	8	0x8	Say_EmoteType	hex
EmoteType	9	0x9	Sound_EmoteType	hex
EmoteType	10	0xA	Tell_EmoteType	hex
EmoteType	11	0xB	Turn_EmoteType	hex
EmoteType	12	0xC	TurnToTarget_EmoteType	hex
EmoteType	13	0xD	TextDirect_EmoteType	hex
EmoteType	14	0xE	CastSpell_EmoteType	hex
EmoteType	15	0xF	Activate_EmoteType	hex
EmoteType	16	0x10	WorldBroadcast_EmoteType	hex
EmoteType	17	0x11	LocalBroadcast_EmoteType	hex
EmoteType	18	0x12	DirectBroadcast_EmoteType	hex
EmoteType	19	0x13	CastSpellInstant_EmoteType	hex
EmoteType	20	0x14	UpdateQuest_EmoteType	hex
EmoteType	21	0x15	InqQuest_EmoteType	hex
EmoteType	22	0x16	StampQuest_EmoteType	hex
EmoteType	23	0x17	StartEvent_EmoteType	hex
EmoteType	24	0x18	StopEvent_EmoteType	hex
EmoteType	25	0x19	BLog_EmoteType	hex
EmoteType	26	0x1A	AdminSpam_EmoteType	hex
EmoteType	27	0x1B	TeachSpell_EmoteType	hex
EmoteType	28	0x1C	AwardSkillXP_EmoteType	hex
EmoteType	29	0x1D	AwardSkillPoints_EmoteType	hex
EmoteType	30	0x1E	InqQuestSolves_EmoteType	hex
EmoteType	31	0x1F	EraseQuest_EmoteType	hex
EmoteType	32	0x20	DecrementQuest_EmoteType	hex
EmoteType	33	0x21	IncrementQuest_EmoteType	hex
EmoteType	34	0x22	AddCharacterTitle_EmoteType	hex
EmoteType	35	0x23	InqBoolStat_EmoteType	hex
EmoteType	36	0x24	InqIntStat_EmoteType	hex
EmoteType	37	0x25	InqFloatStat_EmoteType	hex
EmoteType	38	0x26	InqStringStat_EmoteType	hex
EmoteType	39	0x27	InqAttributeStat_EmoteType	hex
EmoteType	40	0x28	InqRawAttributeStat_EmoteType	hex
EmoteType	41	0x29	InqSecondaryAttributeStat_EmoteType	hex
EmoteType	42	0x2A	InqRawSecondaryAttributeStat_EmoteType	hex
EmoteType	43	0x2B	InqSkillStat_EmoteType	hex
EmoteType	44	0x2C	InqRawSkillStat_EmoteType	hex
EmoteType	45	0x2D	InqSkillTrained_EmoteType	hex
EmoteType	46	0x2E	InqSkillSpecialized_EmoteType	hex
EmoteType	47	0x2F	AwardTrainingCredits_EmoteType	hex
EmoteType	48	0x30	InflictVitaePenalty_EmoteType	hex
EmoteType	49	0x31	AwardLevelProportionalXP_EmoteType	hex
EmoteType	50	0x32	AwardLevelProportionalSkillXP_EmoteType	hex
EmoteType	51	0x33	InqEvent_EmoteType	hex
EmoteType	52	0x34	ForceMotion_EmoteType	hex
EmoteType	53	0x35	SetIntStat_EmoteType	hex
EmoteType	54	0x36	IncrementIntStat_EmoteType	hex
EmoteType	55	0x37	DecrementIntStat_EmoteType	hex
EmoteType	56	0x38	CreateTreasure_EmoteType	hex
EmoteType	57	0x39	ResetHomePosition_EmoteType	hex
EmoteType	58	0x3A	InqFellowQuest_EmoteType	hex
EmoteType	59	0x3B	InqFellowNum_EmoteType	hex
EmoteType	60	0x3C	UpdateFellowQuest_EmoteType	hex
EmoteType	61	0x3D	StampFellowQuest_EmoteType	hex
EmoteType	62	0x3E	AwardNoShareXP_EmoteType	hex
EmoteType	63	0x3F	SetSanctuaryPosition_EmoteType	hex
EmoteType	64	0x40	TellFellow_EmoteType	hex
EmoteType	65	0x41	FellowBroadcast_EmoteType	hex
EmoteType	66	0x42	LockFellow_EmoteType	hex
EmoteType	67	0x43	Goto_EmoteType	hex
EmoteType	68	0x44	PopUp_EmoteType	hex
EmoteType	69	0x45	SetBoolStat_EmoteType	hex
EmoteType	70	0x46	SetQuestCompletions_EmoteType	hex
EmoteType	71	0x47	InqNumCharacterTitles_EmoteType	hex
EmoteType	72	0x48	Generate_EmoteType	hex
EmoteType	73	0x49	PetCastSpellOnOwner_EmoteType	hex
EmoteType	74	0x4A	TakeItems_EmoteType	hex
EmoteType	75	0x4B	InqYesNo_EmoteType	hex
EmoteType	76	0x4C	InqOwnsItems_EmoteType	hex
EmoteType	77	0x4D	DeleteSelf_EmoteType	hex
EmoteType	78	0x4E	KillSelf_EmoteType	hex
EmoteType	79	0x4F	UpdateMyQuest_EmoteType	hex
EmoteType	80	0x50	InqMyQuest_EmoteType	hex
EmoteType	81	0x51	StampMyQuest_EmoteType	hex
EmoteType	82	0x52	InqMyQuestSolves_EmoteType	hex
EmoteType	83	0x53	EraseMyQuest_EmoteType	hex
EmoteType	84	0x54	DecrementMyQuest_EmoteType	hex
EmoteType	85	0x55	IncrementMyQuest_EmoteType	hex
EmoteType	86	0x56	SetMyQuestCompletions_EmoteType	hex
EmoteType	87	0x57	MoveToPos_EmoteType	hex
EmoteType	88	0x58	LocalSignal_EmoteType	hex
EmoteType	89	0x59	InqPackSpace_EmoteType	hex
EmoteType	90	0x5A	RemoveVitaePenalty_EmoteType	hex
EmoteType	91	0x5B	SetEyeTexture_EmoteType	hex
EmoteType	92	0x5C	SetEyePalette_EmoteType	hex
EmoteType	93	0x5D	SetNoseTexture_EmoteType	hex
EmoteType	94	0x5E	SetNosePalette_EmoteType	hex
EmoteType	95	0x5F	SetMouthTexture_EmoteType	hex
EmoteType	96	0x60	SetMouthPalette_EmoteType	hex
EmoteType	97	0x61	SetHeadObject_EmoteType	hex
EmoteType	98	0x62	SetHeadPalette_EmoteType	hex
EmoteType	99	0x63	TeleportTarget_EmoteType	hex
EmoteType	100	0x64	TeleportSelf_EmoteType	hex
EmoteType	101	0x65	StartBarber_EmoteType	hex
EmoteType	102	0x66	InqQuestBitsOn_EmoteType	hex
EmoteType	103	0x67	InqQuestBitsOff_EmoteType	hex
EmoteType	104	0x68	InqMyQuestBitsOn_EmoteType	hex
EmoteType	105	0x69	InqMyQuestBitsOff_EmoteType	hex
EmoteType	106	0x6A	SetQuestBitsOn_EmoteType	hex
EmoteType	107	0x6B	SetQuestBitsOff_EmoteType	hex
EmoteType	108	0x6C	SetMyQuestBitsOn_EmoteType	hex
EmoteType	109	0x6D	SetMyQuestBitsOff_EmoteType	hex
EmoteType	110	0x6E	UntrainSkill_EmoteType	hex
EmoteType	111	0x6F	SetAltRacialSkills_EmoteType	hex
EmoteType	112	0x70	SpendLuminance_EmoteType	hex
EmoteType	113	0x71	AwardLuminance_EmoteType	hex
EmoteType	114	0x72	InqInt64Stat_EmoteType	hex
EmoteType	115	0x73	SetInt64Stat_EmoteType	hex
EmoteType	116	0x74	OpenMe_EmoteType	hex
EmoteType	117	0x75	CloseMe_EmoteType	hex
EmoteType	118	0x76	SetFloatStat_EmoteType	hex
EmoteType	119	0x77	AddContract_EmoteType	hex
EmoteType	120	0x78	RemoveContract_EmoteType	hex
EmoteType	121	0x79	InqContractsFull_EmoteType	hex
EnchantmentMask	3912021	0x3BB155	Multiplicative	dec (unverified)
EnchantmentMask	3912021	0x3BB155	Additive	dec (unverified)
EnchantmentMask	3912021	0x3BB155	Vitae	dec (unverified)
EnchantmentMask	3912021	0x3BB155	Cooldown	dec (unverified)
EnchantmentRegistryFlags	1	0x1	LifeSpells	hex
EnchantmentRegistryFlags	2	0x2	CreatureSpells	hex
EnchantmentRegistryFlags	4	0x4	Vitae	hex
EnchantmentRegistryFlags	8	0x8	Cooldowns	hex
EnchantmentTypeFlags	0	0x0	Undef	hex
EnchantmentTypeFlags	1	0x1	Attribute	hex
EnchantmentTypeFlags	2	0x2	SecondAtt	hex
EnchantmentTypeFlags	4	0x4	Int	hex
EnchantmentTypeFlags	8	0x8	Float	hex
EnchantmentTypeFlags	16	0x10	Skill	hex
EnchantmentTypeFlags	32	0x20	BodyDamageValue	hex
EnchantmentTypeFlags	64	0x40	BodyDamageVariance	hex
EnchantmentTypeFlags	128	0x80	BodyArmorValue	hex
EnchantmentTypeFlags	255	0xFF	StatTypes	hex
EnchantmentTypeFlags	4096	0x1000	SingleStat	hex
EnchantmentTypeFlags	8192	0x2000	MultipleStat	hex
EnchantmentTypeFlags	16384	0x4000	Multiplicative	hex
EnchantmentTypeFlags	32768	0x8000	Additive	hex
EnchantmentTypeFlags	65536	0x10000	AttackSkills	hex
EnchantmentTypeFlags	131072	0x20000	DefenseSkills	hex
EnchantmentTypeFlags	1048576	0x100000	MultiplicativeDegrade	hex
EnchantmentTypeFlags	2097152	0x200000	Additive_Degrade	hex
EnchantmentTypeFlags	8388608	0x800000	Vitae	hex
EnchantmentTypeFlags	16777216	0x1000000	Cooldown	hex
EnchantmentTypeFlags	33554432	0x2000000	Beneficial	hex
EndTradeReason	0	0x0	Normal	dec (unverified)
EndTradeReason	2	0x2	EnteredCombat	dec (unverified)
EndTradeReason	51	0x33	Cancelled	dec (unverified)
EnvrionChangeType	0	0x0	Clear	hex
EnvrionChangeType	1	0x1	RedFog	hex
EnvrionChangeType	2	0x2	BlueFog	hex
EnvrionChangeType	3	0x3	WhiteFog	hex
EnvrionChangeType	4	0x4	GreenFog	hex
EnvrionChangeType	5	0x5	BlackFog	hex
EnvrionChangeType	6	0x6	BlackFog2	hex
EnvrionChangeType	101	0x65	RoarSound	hex
EnvrionChangeType	102	0x66	BellSound	hex
EnvrionChangeType	103	0x67	Chant1Sound	hex
EnvrionChangeType	104	0x68	Chant2Sound	hex
EnvrionChangeType	105	0x69	DarkWhispers1Sound	hex
EnvrionChangeType	106	0x6A	DarkWhispers2Sound	hex
EnvrionChangeType	107	0x6B	DarkLaughSound	hex
EnvrionChangeType	108	0x6C	DarkWindSound	hex
EnvrionChangeType	109	0x6D	DarkSpeechSound	hex
EnvrionChangeType	110	0x6E	DrumsSound	hex
EnvrionChangeType	111	0x6F	GhostSpeakSound	hex
EnvrionChangeType	112	0x70	BreathingSound	hex
EnvrionChangeType	113	0x71	HowlSound	hex
EnvrionChangeType	114	0x72	LostSoulsSound	hex
EnvrionChangeType	117	0x75	SquealSound	hex
EnvrionChangeType	118	0x76	Thunder1Sound	hex
EnvrionChangeType	119	0x77	Thunder2Sound	hex
EnvrionChangeType	120	0x78	Thunder3Sound	hex
EnvrionChangeType	121	0x79	Thunder4Sound	hex
EnvrionChangeType	122	0x7A	Thunder5Sound	hex
EnvrionChangeType	123	0x7B	Thunder6Sound	hex
EquipMask	1	0x1	Head	hex (mask attr)
EquipMask	2	0x2	ChestUnderwear	hex (mask attr)
EquipMask	4	0x4	AbdomenUnderwear	hex (mask attr)
EquipMask	8	0x8	UpperArmsUnderwear	hex (mask attr)
EquipMask	16	0x10	LowerArmsUnderwear	hex (mask attr)
EquipMask	32	0x20	Hands	hex (mask attr)
EquipMask	64	0x40	UpperLegsUnderwear	hex (mask attr)
EquipMask	128	0x80	LowerLegsUnderwear	hex (mask attr)
EquipMask	256	0x100	Feet	hex (mask attr)
EquipMask	512	0x200	Chest	hex (mask attr)
EquipMask	1024	0x400	Abdomen	hex (mask attr)
EquipMask	2048	0x800	UpperArms	hex (mask attr)
EquipMask	4096	0x1000	LowerArms	hex (mask attr)
EquipMask	8192	0x2000	UpperLegs	hex (mask attr)
EquipMask	16384	0x4000	LowerLegs	hex (mask attr)
EquipMask	32768	0x8000	Necklace	hex (mask attr)
EquipMask	65536	0x10000	RightBracelet	hex (mask attr)
EquipMask	131072	0x20000	LeftBracelet	hex (mask attr)
EquipMask	262144	0x40000	RightRing	hex (mask attr)
EquipMask	524288	0x80000	LeftRing	hex (mask attr)
EquipMask	1048576	0x100000	MeleeWeapon	hex (mask attr)
EquipMask	2097152	0x200000	Shield	hex (mask attr)
EquipMask	4194304	0x400000	MissileWeapon	hex (mask attr)
EquipMask	8388608	0x800000	Ammunition	hex (mask attr)
EquipMask	16777216	0x1000000	Wand	hex (mask attr)
EquipmentSet	0	0x0	None	dec
EquipmentSet	1	0x1	Test	dec
EquipmentSet	2	0x2	Test2	dec
EquipmentSet	3	0x3	Unknown3	dec
EquipmentSet	4	0x4	CarraidasBenediction	dec
EquipmentSet	5	0x5	NobleRelic	dec
EquipmentSet	6	0x6	AncientRelic	dec
EquipmentSet	7	0x7	AlduressaRelic	dec
EquipmentSet	8	0x8	Ninja	dec
EquipmentSet	9	0x9	EmpyreanRings	dec
EquipmentSet	10	0xA	ArmMindHeart	dec
EquipmentSet	11	0xB	ArmorPerfectLight	dec
EquipmentSet	12	0xC	ArmorPerfectLight2	dec
EquipmentSet	13	0xD	Soldiers	dec
EquipmentSet	14	0xE	Adepts	dec
EquipmentSet	15	0xF	Archers	dec
EquipmentSet	16	0x10	Defenders	dec
EquipmentSet	17	0x11	Tinkers	dec
EquipmentSet	18	0x12	Crafters	dec
EquipmentSet	19	0x13	Hearty	dec
EquipmentSet	20	0x14	Dexterous	dec
EquipmentSet	21	0x15	Wise	dec
EquipmentSet	22	0x16	Swift	dec
EquipmentSet	23	0x17	Hardened	dec
EquipmentSet	24	0x18	Reinforced	dec
EquipmentSet	25	0x19	Interlocking	dec
EquipmentSet	26	0x1A	Flameproof	dec
EquipmentSet	27	0x1B	Acidproof	dec
EquipmentSet	28	0x1C	Coldproof	dec
EquipmentSet	29	0x1D	Lightningproof	dec
EquipmentSet	30	0x1E	SocietyArmor	dec
EquipmentSet	31	0x1F	ColosseumClothing	dec
EquipmentSet	32	0x20	GraveyardClothing	dec
EquipmentSet	33	0x21	OlthoiClothing	dec
EquipmentSet	34	0x22	NoobieArmor	dec
EquipmentSet	35	0x23	AetheriaDefense	dec
EquipmentSet	36	0x24	AetheriaDestruction	dec
EquipmentSet	37	0x25	AetheriaFury	dec
EquipmentSet	38	0x26	AetheriaGrowth	dec
EquipmentSet	39	0x27	AetheriaVigor	dec
EquipmentSet	40	0x28	RareDamageResistance	dec
EquipmentSet	41	0x29	RareDamageBoost	dec
EquipmentSet	42	0x2A	OlthoiArmorDRed	dec
EquipmentSet	43	0x2B	OlthoiArmorCRat	dec
EquipmentSet	44	0x2C	OlthoiArmorCRed	dec
EquipmentSet	45	0x2D	OlthoiArmorDRat	dec
EquipmentSet	46	0x2E	AlduressaRelicUpgrade	dec
EquipmentSet	47	0x2F	AncientRelicUpgrade	dec
EquipmentSet	48	0x30	NobleRelicUpgrade	dec
EquipmentSet	49	0x31	CloakAlchemy	dec
EquipmentSet	50	0x32	CloakArcaneLore	dec
EquipmentSet	51	0x33	CloakArmorTinkering	dec
EquipmentSet	52	0x34	CloakAssessPerson	dec
EquipmentSet	53	0x35	CloakLightWeapons	dec
EquipmentSet	54	0x36	CloakMissileWeapons	dec
EquipmentSet	55	0x37	CloakCooking	dec
EquipmentSet	56	0x38	CloakCreatureEnchantment	dec
EquipmentSet	57	0x39	CloakCrossbow	dec
EquipmentSet	58	0x3A	CloakFinesseWeapons	dec
EquipmentSet	59	0x3B	CloakDeception	dec
EquipmentSet	60	0x3C	CloakFletching	dec
EquipmentSet	61	0x3D	CloakHealing	dec
EquipmentSet	62	0x3E	CloakItemEnchantment	dec
EquipmentSet	63	0x3F	CloakItemTinkering	dec
EquipmentSet	64	0x40	CloakLeadership	dec
EquipmentSet	65	0x41	CloakLifeMagic	dec
EquipmentSet	66	0x42	CloakLoyalty	dec
EquipmentSet	67	0x43	CloakMace	dec
EquipmentSet	68	0x44	CloakMagicDefense	dec
EquipmentSet	69	0x45	CloakMagicItemTinkering	dec
EquipmentSet	70	0x46	CloakManaConversion	dec
EquipmentSet	71	0x47	CloakMeleeDefense	dec
EquipmentSet	72	0x48	CloakMissileDefense	dec
EquipmentSet	73	0x49	CloakSalvaging	dec
EquipmentSet	74	0x4A	CloakSpear	dec
EquipmentSet	75	0x4B	CloakStaff	dec
EquipmentSet	76	0x4C	CloakHeavyWeapons	dec
EquipmentSet	77	0x4D	CloakThrownWeapon	dec
EquipmentSet	78	0x4E	CloakTwoHandedCombat	dec
EquipmentSet	79	0x4F	CloakUnarmedCombat	dec
EquipmentSet	80	0x50	CloakVoidMagic	dec
EquipmentSet	81	0x51	CloakWarMagic	dec
EquipmentSet	82	0x52	CloakWeaponTinkering	dec
EquipmentSet	83	0x53	CloakAssessCreature	dec
EquipmentSet	84	0x54	CloakDirtyFighting	dec
EquipmentSet	85	0x55	CloakDualWield	dec
EquipmentSet	86	0x56	CloakRecklessness	dec
EquipmentSet	87	0x57	CloakShield	dec
EquipmentSet	88	0x58	CloakSneakAttack	dec
EquipmentSet	89	0x59	Ninja_New	dec
EquipmentSet	90	0x5A	CloakSummoning	dec
EquipmentSet	91	0x5B	ShroudedSoul	dec
EquipmentSet	92	0x5C	DarkenedMind	dec
EquipmentSet	93	0x5D	CloudedSpirit	dec
EquipmentSet	94	0x5E	MinorStingingShroudedSoul	dec
EquipmentSet	95	0x5F	MinorSparkingShroudedSoul	dec
EquipmentSet	96	0x60	MinorSmolderingShroudedSoul	dec
EquipmentSet	97	0x61	MinorShiveringShroudedSoul	dec
EquipmentSet	98	0x62	MinorStingingDarkenedMind	dec
EquipmentSet	99	0x63	MinorSparkingDarkenedMind	dec
EquipmentSet	100	0x64	MinorSmolderingDarkenedMind	dec
EquipmentSet	101	0x65	MinorShiveringDarkenedMind	dec
EquipmentSet	102	0x66	MinorStingingCloudedSpirit	dec
EquipmentSet	103	0x67	MinorSparkingCloudedSpirit	dec
EquipmentSet	104	0x68	MinorSmolderingCloudedSpirit	dec
EquipmentSet	105	0x69	MinorShiveringCloudedSpirit	dec
EquipmentSet	106	0x6A	MajorStingingShroudedSoul	dec
EquipmentSet	107	0x6B	MajorSparkingShroudedSoul	dec
EquipmentSet	108	0x6C	MajorSmolderingShroudedSoul	dec
EquipmentSet	109	0x6D	MajorShiveringShroudedSoul	dec
EquipmentSet	110	0x6E	MajorStingingDarkenedMind	dec
EquipmentSet	111	0x6F	MajorSparkingDarkenedMind	dec
EquipmentSet	112	0x70	MajorSmolderingDarkenedMind	dec
EquipmentSet	113	0x71	MajorShiveringDarkenedMind	dec
EquipmentSet	114	0x72	MajorStingingCloudedSpirit	dec
EquipmentSet	115	0x73	MajorSparkingCloudedSpirit	dec
EquipmentSet	116	0x74	MajorSmolderingCloudedSpirit	dec
EquipmentSet	117	0x75	MajorShiveringCloudedSpirit	dec
EquipmentSet	118	0x76	BlackfireStingingShroudedSoul	dec
EquipmentSet	119	0x77	BlackfireSparkingShroudedSoul	dec
EquipmentSet	120	0x78	BlackfireSmolderingShroudedSoul	dec
EquipmentSet	121	0x79	BlackfireShiveringShroudedSoul	dec
EquipmentSet	122	0x7A	BlackfireStingingDarkenedMind	dec
EquipmentSet	123	0x7B	BlackfireSparkingDarkenedMind	dec
EquipmentSet	124	0x7C	BlackfireSmolderingDarkenedMind	dec
EquipmentSet	125	0x7D	BlackfireShiveringDarkenedMind	dec
EquipmentSet	126	0x7E	BlackfireStingingCloudedSpirit	dec
EquipmentSet	127	0x7F	BlackfireSparkingCloudedSpirit	dec
EquipmentSet	128	0x80	BlackfireSmolderingCloudedSpirit	dec
EquipmentSet	129	0x81	BlackfireShiveringCloudedSpirit	dec
EquipmentSet	130	0x82	ShimmeringShadowsSet	dec
EquipmentSet	131	0x83	BrownSocietyLocket	dec
EquipmentSet	132	0x84	YellowSocietyLocket	dec
EquipmentSet	133	0x85	RedSocietyBand	dec
EquipmentSet	134	0x86	GreenSocietyBand	dec
EquipmentSet	135	0x87	PurpleSocietyBand	dec
EquipmentSet	136	0x88	BlueSocietyBand	dec
EquipmentSet	137	0x89	GauntletGarb	dec
EquipmentSet	138	0x8A	ParagonMissile	dec
EquipmentSet	139	0x8B	ParagonCaster	dec
EquipmentSet	140	0x8C	ParagonMelee	dec
FactionBits	0	0x0	None	hex
FactionBits	1	0x1	CelestialHand	hex
FactionBits	2	0x2	EldrytchWeb	hex
FactionBits	4	0x4	RadiantBlood	hex
FellowUpdateType	1	0x1	FullUpdate	hex
FellowUpdateType	2	0x2	UpdateStats	hex
FellowUpdateType	3	0x3	UpdateVitals	hex
FragmentGroup	5	0x5	Event	dec (unverified)
FragmentGroup	9	0x9	Private	dec (unverified)
FragmentGroup	10	0xA	Object	dec (unverified)
FriendsUpdateType	0	0x0	Full	hex
FriendsUpdateType	1	0x1	Added	hex
FriendsUpdateType	2	0x2	Removed	hex
FriendsUpdateType	4	0x4	LoginChange	hex
GameAction	5	0x5	Character_PlayerOptionChangedEvent	hex
GameAction	8	0x8	Combat_TargetedMeleeAttack	hex
GameAction	10	0xA	Combat_TargetedMissileAttack	hex
GameAction	15	0xF	Communication_SetAFKMode	hex
GameAction	16	0x10	Communication_SetAFKMessage	hex
GameAction	21	0x15	Communication_Talk	hex
GameAction	23	0x17	Social_RemoveFriend	hex
GameAction	24	0x18	Social_AddFriend	hex
GameAction	25	0x19	Inventory_PutItemInContainer	hex
GameAction	26	0x1A	Inventory_GetAndWieldItem	hex
GameAction	27	0x1B	Inventory_DropItem	hex
GameAction	29	0x1D	Allegiance_SwearAllegiance	hex
GameAction	30	0x1E	Allegiance_BreakAllegiance	hex
GameAction	31	0x1F	Allegiance_UpdateRequest	hex
GameAction	37	0x25	Social_ClearFriends	hex
GameAction	38	0x26	Character_TeleToPKLArena	hex
GameAction	39	0x27	Character_TeleToPKArena	hex
GameAction	44	0x2C	Social_SetDisplayCharacterTitle	hex
GameAction	48	0x30	Allegiance_QueryAllegianceName	hex
GameAction	49	0x31	Allegiance_ClearAllegianceName	hex
GameAction	50	0x32	Communication_TalkDirect	hex
GameAction	51	0x33	Allegiance_SetAllegianceName	hex
GameAction	53	0x35	Inventory_UseWithTargetEvent	hex
GameAction	54	0x36	Inventory_UseEvent	hex
GameAction	59	0x3B	Allegiance_SetAllegianceOfficer	hex
GameAction	60	0x3C	Allegiance_SetAllegianceOfficerTitle	hex
GameAction	61	0x3D	Allegiance_ListAllegianceOfficerTitles	hex
GameAction	62	0x3E	Allegiance_ClearAllegianceOfficerTitles	hex
GameAction	63	0x3F	Allegiance_DoAllegianceLockAction	hex
GameAction	64	0x40	Allegiance_SetAllegianceApprovedVassal	hex
GameAction	65	0x41	Allegiance_AllegianceChatGag	hex
GameAction	66	0x42	Allegiance_DoAllegianceHouseAction	hex
GameAction	68	0x44	Train_TrainAttribute2nd	hex
GameAction	69	0x45	Train_TrainAttribute	hex
GameAction	70	0x46	Train_TrainSkill	hex
GameAction	71	0x47	Train_TrainSkillAdvancementClass	hex
GameAction	72	0x48	Magic_CastUntargetedSpell	hex
GameAction	74	0x4A	Magic_CastTargetedSpell	hex
GameAction	83	0x53	Combat_ChangeCombatMode	hex
GameAction	84	0x54	Inventory_StackableMerge	hex
GameAction	85	0x55	Inventory_StackableSplitToContainer	hex
GameAction	86	0x56	Inventory_StackableSplitTo3D	hex
GameAction	88	0x58	Communication_ModifyCharacterSquelch	hex
GameAction	89	0x59	Communication_ModifyAccountSquelch	hex
GameAction	91	0x5B	Communication_ModifyGlobalSquelch	hex
GameAction	93	0x5D	Communication_TalkDirectByName	hex
GameAction	95	0x5F	Vendor_Buy	hex
GameAction	96	0x60	Vendor_Sell	hex
GameAction	99	0x63	Character_TeleToLifestone	hex
