error_hex	error_dec	WeenieError	WeenieErrorWithString	handler_va	message
0x559	1369	AugmentationNotEnoughExperience		0x00574FF0	You do not have enough unspent experience available to purchase this augmentation.\n
0x55A	1370		AugmentationSkillNotTrained	0x00575022	%s\n
0x55B	1371		YouSuccededAcquiringAugmentation	0x00575036	Congratulations! You have succeeded in acquiring the %s augmentation.\n
0x55C	1372		YouSucceededRecoveringXPFromSkill_AugmentationNotUntrainable	0x00574F46	Although your augmentation will not allow you to untrain your %s skill, you have succeeded in recovering all the experience you had invested in it.\n
0x55D	1373	ExitTrainingAcademyToUseCommand		0x00573CBC	You must exit the Training Academy before that command will be available to you.\n
0x55E	1374		AFK	0x00574449	You cannot modify your player killer status while you are recovering from a PK death.\n
0x55F	1375	OnlyPKsMayUseCommand		0x00574810	Only Player Killer characters may use this command!\n
0x560	1376	OnlyPKLiteMayUseCommand		0x00574842	Only Player Killer Lite characters may use this command!\n
0x561	1377	MaxFriendsExceeded		0x0057436D	You may only have a maximum of 50 friends at once. If you wish to add more friends, you must first remove some.
0x562	1378		IsAlreadyOnYourFriendsList	0x0057439F	%s is already on your friends list!\n
0x563	1379	ThatCharacterNotOnYourFriendsList		0x005743B3	That character is not on your friends list!\n
0x564	1380	OnlyHouseOwnerCanUseCommand		0x00574D21	Only the character who owns the house may use this command.
0x565	1381	InvalidAllegianceNameCantBeEmpty		0x005741C8	That allegiance name is invalid because it is empty. Please use the @allegiance name clear command to clear your allegiance name.\n
0x566	1382	InvalidAllegianceNameTooLong		0x005741DF	That allegiance name is too long. Please choose another name.\n
0x567	1383	InvalidAllegianceNameBadCharacters		0x005741F6	That allegiance name contains illegal characters. Please choose another name using only letters, spaces, - and '.\n
0x568	1384	InvalidAllegianceNameInappropriate		0x0057420D	That allegiance name is not appropriate. Please choose another name.\n
0x569	1385	InvalidAllegianceNameAlreadyInUse		0x00574224	That allegiance name is already in use. Please choose another name.\n
0x56A	1386		YouMayOnlyChangeAllegianceNameOnceEvery24Hours	0x0057423B	You may only change your allegiance name once every 24 hours. You may change your allegiance name again in %s.\n
0x56B	1387	AllegianceNameCleared		0x0057424F	Your allegiance name has been cleared.\n
0x56C	1388	InvalidAllegianceNameSameName		0x00574266	That is already the name of your allegiance!\n
0x56D	1389		IsTheMonarchAndCannotBePromotedOrDemoted	0x00573DE8	%s is the monarch and cannot be promoted or demoted.\n
0x56E	1390		ThatLevelOfAllegianceOfficerIsNowKnownAs_	0x00573ECE	That level of allegiance officer is now known as: %s.\n
0x56F	1391	InvalidOfficerLevel		0x00573D7A	That is an invalid officer level.\n
0x570	1392	AllegianceOfficerTitleIsNotAppropriate		0x00573EF9	That allegiance officer title is not appropriate.\n
0x571	1393	AllegianceNameIsTooLong		0x00573EE2	That allegiance name is too long. Please choose another name.\n
0x572	1394	AllegianceOfficerTitlesCleared		0x00573F42	All of your allegiance officer titles have been cleared.\n
0x573	1395	AllegianceTitleHasIllegalChars		0x00573F2B	That allegiance title contains illegal characters. Please choose another name using only letters, spaces, - and '.\n
0x574	1396		YourAllegianceIsCurrently_	0x0057427D	Your allegiance is currently: %s.\n
0x575	1397		YourAllegianceIsNow_	0x00574291	Your allegiance is now: %s.\n
0x576	1398		YouCannotAcceptAllegiance_YourAllegianceIsLocked	0x005742A5	You may not accept the offer of allegiance from %s because your allegiance is locked.\n
0x577	1399		YouCannotSwearAllegiance_AllegianceOf_IsLocked	0x005742B9	You may not swear allegiance at this time because the allegiance of %s is locked.\n
0x578	1400		YouHavePreApproved_ToJoinAllegiance	0x005742CD	You have pre-approved %s to join your allegiance.\n
0x579	1401	YouHaveNotPreApprovedVassals		0x005742E1	You have not pre-approved any vassals to join your allegiance.\n
0x57A	1402		IsAlreadyMemberOfYourAllegiance	0x00574313	%s is already a member of your allegiance!\n
0x57B	1403		HasBeenPreApprovedToJoinYourAllegiance	0x00574327	%s has been pre-approved to join your allegiance.\n
0x57C	1404	YouHaveClearedPreApprovedVassal		0x0057433B	You have cleared the pre-approved vassal for your allegiance.\n
0x57D	1405	CharIsAlreadyGagged		0x00573FB3	That character is already gagged!\n
0x57E	1406	CharIsNotCurrentlyGagged		0x00573FE5	That character is not currently gagged!\n
0x57F	1407		YourAllegianceChatPrivilegesRemoved	0x00574017	Your allegiance chat privileges have been temporarily removed by %s. Until they are restored, you may not view or speak in the allegiance chat channel.
0x580	1408		IsTemporarilyGaggedInAllegianceChat	0x0057402B	%s is now temporarily unable to view or speak in allegiance chat. The gag will run out in 5 minutes, or %s may be explicitly ungagged before then.
0x581	1409	YourAllegianceChatPrivilegesRestored		0x0057404F	Your allegiance chat privileges have been restored.\n
0x582	1410		YourAllegianceChatPrivilegesRestoredBy_	0x00574081	Your allegiance chat privileges have been restored by %s.
0x583	1411		YouRestoreAllegianceChatPrivilegesTo_	0x00574095	You have restored allegiance chat privileges to %s.
0x584	1412	TooManyUniqueItems		0x005739B6	You cannot pick up more of that item!
0x585	1413	HeritageRequiresSpecificArmor		0x00575161	You are restricted to clothes and armor created for your race.
0x586	1414	ArmorRequiresSpecificHeritage		0x00575193	That item was specifically created for another race.
0x587	1415	OlthoiCannotInteractWithThat		0x005751C5	Olthoi cannot interact with that!\n
0x588	1416	OlthoiCannotUseLifestones		0x005751F7	Olthoi cannot use regular lifestones! Asheron would not allow it!\n
0x589	1417	OlthoiVendorLooksInHorror		0x00575229	The vendor looks at you in horror!\n
0x58A	1418		CowersFromYou	0x0057525B	%s cowers from you!\n
0x58B	1419	OlthoiCannotJoinFellowship		0x0057528E	As a mindless engine of destruction an Olthoi cannot join a fellowship!\n
0x58C	1420	OlthoiCannotJoinAllegiance		0x005752C0	The Olthoi only have an allegiance to the Olthoi Queen!\n
0x58D	1421	YouCannotUseThatItem		0x005752F2	You cannot use that item!\n
0x58E	1422	ThisPersonWillNotInteractWithYou		0x00575324	This person will not interact with you!\n
0x58F	1423	OnlyOlthoiMayUsePortal		0x00575356	Only Olthoi may pass through this portal!\n
0x590	1424	OlthoiMayNotUsePortal		0x00575388	Olthoi may not pass through this portal!\n
0x591	1425	YouMayNotUsePortalWithVitae		0x005753BA	You may not pass through this portal while Vitae weakens you!\n
0x592	1426	YouMustBeTwoWeeksOldToUsePortal		0x005753E9	This character must be two weeks old or have been created on an account at least two weeks old to use this portal!\n
0x593	1427	OlthoiCanOnlyRecallToLifestone		0x00575418	Olthoi characters can only use Lifestone and PK Arena recalls!\n
